      1 Copilot	README.md	27	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 Copilot	composer/src/gate.ts	56	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 Copilot	composer/src/jupiter-flashloan.ts	0	98b83ead9be57fe9f780aeb6b6c0a9b524cb9ce7
      1 Copilot	composer/test/jupiter-flashloan.test.ts	15	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 Copilot	programs/shadow_paymaster/src/lib.rs	4	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	.github/ISSUE_TEMPLATE/model-assisted-change.md	21	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	.github/ISSUE_TEMPLATE/release-signoff.md	24	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	CODEOWNERS	15	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	CODEOWNERS	2	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	audit/OPENAI_CHATGPT_REVIEW_PLAN_REVISED.md	153	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	audit/OPENAI_CHATGPT_REVIEW_PLAN_REVISED.md	16	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	audit/OPENAI_CHATGPT_REVIEW_PLAN_REVISED.md	25	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	audit/OPENAI_CHATGPT_REVIEW_PLAN_REVISED.md	9	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	composer/src/canonical.ts	66	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	composer/src/gate.ts	140	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	composer/src/gate.ts	45	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	composer/src/gate.ts	76	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	composer/src/gate.ts	96	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	composer/src/signer.ts	30	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	composer/src/source-lock.ts	10	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	docs/DEVNET_PAYMASTER_READINESS.md	8	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	docs/PROJECT_ARTIFACTS.md	28	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	docs/archive/PLAN_V1.1.md	223	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	docs/archive/PLAN_V1.1.md	227	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	docs/evidence/SHADOW_NON_MAINNET_RESEARCH_EVIDENCE.md	4	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	docs/project/SHADOW_ACCOUNT_VERIFIED_STATE.md	46	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	programs/shadow_paymaster/src/lib.rs	347	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	programs/shadow_paymaster/src/lib.rs	381	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	scripts/build_repository_index.py	214	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	scripts/check_devnet_readiness.mjs	39	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	scripts/extract_jupiter_flashloan_matrix.mjs	37	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	scripts/manus_memory.py	113	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	scripts/manus_memory.py	205	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	scripts/manus_memory.py	257	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 coderabbitai[bot]	scripts/seed_manus_memory.sh	20	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 cursor[bot]	CODEOWNERS	15	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 cursor[bot]	composer/src/fake-relay.ts	68	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 cursor[bot]	composer/src/jupiter-flashloan.ts	0	98b83ead9be57fe9f780aeb6b6c0a9b524cb9ce7
      1 cursor[bot]	composer/src/jupiter-flashloan.ts	164	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 cursor[bot]	composer/src/signer.ts	30	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 cursor[bot]	composer/src/source-lock.ts	25	fcea230b76cb5aa406af089fe568ee93daf509ed
      2 cursor[bot]	programs/shadow_paymaster/src/lib.rs	347	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 cursor[bot]	programs/shadow_paymaster/src/lib.rs	4	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 cursor[bot]	scripts/check_devnet_readiness.mjs	39	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 cursor[bot]	scripts/check_devnet_readiness.mjs	55	fcea230b76cb5aa406af089fe568ee93daf509ed
      1 cursor[bot]	scripts/extract_jupiter_flashloan_matrix.mjs	37	fcea230b76cb5aa406af089fe568ee93daf509ed
